"","mean","ll","ul","sd"
"62",0.343249413422331,0.150708810181399,0.52655843052251,0.0960830406370616
"63",0.334617642550099,0.154967801099562,0.501396604652267,0.090259853092637
"64",0.324361772376754,0.148267090721724,0.491883291006384,0.0909673321328366
"65",0.340846514821025,0.146167985260239,0.528871404416566,0.0980136900453164
"66",0.428437802699706,0.0593919792341459,0.893501573661279,0.202212682139228
"67",0.425753068515004,0.110800668165203,0.807852735536192,0.166136974783665
"68",0.425823102474184,0.111482708001512,0.807306977758231,0.165757426300561
"69",0.421529517288598,0.184920057032259,0.691339916811479,0.118887761905727
"70",0.421379905051831,0.188328538794226,0.686442099155237,0.116967599510492
"71",0.426306828186686,0.170135082132614,0.730649711146538,0.132160079901161
"72",0.424818083592821,0.128616146264671,0.780188850240729,0.154539567240878
"73",0.424542734210173,0.131895052679133,0.775331436769419,0.152495836394953
"74",0.423180428333367,0.157035395611454,0.736662429491593,0.136784961963203
"75",0.425924420885955,0.104134250794634,0.819031242388924,0.170645282159771
"76",0.428176636962186,0.0390285820978969,0.928378783933896,0.217566646675652
"77",0.424424434910725,0.130600191295981,0.776046391277372,0.152953385881548
"78",0.373777008379752,0.160014321033213,0.588540748346109,0.106285007352429
"79",0.424183838335514,0.127015790206295,0.782562893552456,0.155309219506265
"80",0.43109573051838,0.0454796908951023,0.918200046513934,0.213812933633957
"81",0.425362322553407,0.195029871769059,0.697010506499191,0.118352710122063
"82",0.426669682816491,0.0930903354853975,0.83770688749525,0.177909973574272
"83",0.450069735452966,0.30874892189574,0.633497964368226,0.0813835349989348
"84",0.426776890761978,0.212297433360824,0.683169572317658,0.111032443142068
"85",0.378174475532979,0.177941646569077,0.576761786225978,0.0987632301213784
"86",0.422827293351383,0.163062046039004,0.727893106953693,0.133242993137452
"87",0.429666272235732,0.065418858610381,0.884556149833659,0.194637474853727
"88",0.453439303352288,0.142195725766878,0.846655991978786,0.166289217402696
"89",0.422721510861829,0.103901645214296,0.816622433166968,0.168859626977348
"90",0.534013405246474,0.266235117182236,0.892031701431622,0.166645956480016
"91",0.426776662112588,0.212689585537559,0.682711338186835,0.110838524609644
"92",0.509430566722734,0.153555727878541,0.920451803636173,0.191139830467524
"93",0.505104491213314,0.287453548452341,0.801777130753932,0.134714770279146
"94",0.433614225820392,0.199388854736615,0.718500185978944,0.122809357746579
"95",0.422664448246883,0.166477532011365,0.722874807023651,0.131235764592001
"96",0.425767055529722,0.113172372857949,0.805070916087738,0.16470909265857
"97",0.419753250763074,0.0833473890882576,0.845155420588705,0.180843996055081
"98",0.444411920670177,0.306512202763109,0.620399621141444,0.0782512817149036
"99",0.370914330014995,0.186442119830947,0.557268020030506,0.0930341501881361
"100",0.499946859421522,0.107096536639611,0.958640573632176,0.212773365612543
"101",0.423429127318155,0.14763909306486,0.752154419147491,0.142741038591358
"102",0.424587965378441,0.124661636505187,0.786868459214647,0.156900067511739
"103",0.423009332290143,0.160136779740429,0.73238045180162,0.135032541656225
"104",0.371173698565028,0.218508329195306,0.517954698904187,0.0762165042923732
"105",0.371311704915802,0.21294366824405,0.520060382832267,0.0779717898416039
"106",0.423006028943887,0.15908528301305,0.73394686106571,0.135654939779749
"107",0.429075444319699,0.0683164922229354,0.878908852162258,0.196158973746924
"108",0.426496598355625,0.0996359254342863,0.827249156122561,0.173192089200152
"109",0.423875420782902,0.141971591970642,0.758850513705638,0.145856719204493
"110",0.423852615443716,0.142363631306235,0.758246957864809,0.145611250703011
"111",0.428864854314049,0.0704946625371377,0.875245351170408,0.194420057170671
"112",0.533090994439203,0.276548428134313,0.882270479450391,0.161555076663884
"113",0.425567951951585,0.0960806167164351,0.831828030602111,0.175495936023921
"114",0.423837441648447,0.121679557224313,0.790853977895321,0.158372961833144
"115",0.427711579760026,0.166624579260486,0.739690679264616,0.135224662227936
"116",0.426208107235107,0.103275126348952,0.820489006267937,0.170946966425703
"117",0.424255146182015,0.196935766779398,0.690521764993432,0.116290432849453
"118",0.422999835817049,0.160318035737974,0.732108611072504,0.13492379678109
"119",0.424186854470525,0.134359247339233,0.770137836922718,0.15057275401713
"120",0.422657786585976,0.162276933853229,0.727029029159366,0.133161597252667
"121",0.444408210119127,0.306893470643465,0.619903772444782,0.0780506489000745
